arguments: /home/luke/Projects/montithings/core/services/log-tracing/cmake-build-debug/bin/logtracer_middleware --message-broker MQTT
Current dir: /home/luke/Projects/montithings/core/services/log-tracing
File verbosity level: 0
17:27:27.887 (   0.010s) | Logging to 'latest_readable.log', mode: 'w', verbosity: 0
17:27:27.887 (   0.010s) | Initializing...
17:27:31.692 (   3.815s) | Got response ...
17:27:35.158 (   7.281s) | Got response ...
17:27:36.207 (   8.330s) | Got response ...
17:27:37.227 (   9.351s) | Got response ...
17:27:37.802 (   9.925s) | Got response ...
17:27:38.366 (  10.489s) | Got response ...
17:27:39.241 (  11.365s) | Got response ...
17:27:40.148 (  12.271s) | Got response ...
17:27:44.741 (  16.864s) | Got response ...
17:27:47.497 (  19.620s) | Got response ...
17:27:48.109 (  20.233s) | Got response ...
17:27:48.759 (  20.882s) | Got response ...
18:04:52.244 (2244.367s) | Got response ...
18:04:52.246 (2244.369s) | Got response ...
18:04:53.306 (2245.429s) | Got response ...
18:04:56.990 (2249.113s) | Got response ...
18:04:57.768 (2249.891s) | Got response ...
18:04:58.325 (2250.448s) | Got response ...
18:04:59.401 (2251.525s) | Got response ...
18:04:59.619 (2251.742s) | Got response ...
18:05:00.171 (2252.294s) | Got response ...
18:05:00.947 (2253.070s) | Got response ...
18:05:01.414 (2253.538s) | Got response ...
18:05:01.820 (2253.943s) | Got response ...
18:05:02.415 (2254.538s) | Got response ...
18:05:03.371 (2255.494s) | Got response ...
18:05:03.371 (2255.494s) | Got response ...
18:05:04.494 (2256.618s) | Got response ...
18:05:05.508 (2257.632s) | Got response ...
18:12:02.586 (2674.709s) | Got response ...
18:12:03.769 (2675.893s) | Got response ...
18:12:04.787 (2676.911s) | Got response ...
18:12:05.275 (2677.398s) | Got response ...
18:12:06.194 (2678.317s) | Got response ...
18:14:54.264 (2846.388s) | Got response ...
